"Site","Difference_Moyenne"
"1","arch.us",0.0562216931792081
"2","badlau.de",0.102857731406123
"3","bldr.us",0.740490239143842
"4","bnch.us",0.240334432755412
"5","bogong.au",0.501726468703688
"6","burrawan.au",2.73906908249382
"7","cbgb.us",0.531691564492146
"8","cdcr.us",0.830010575961658
"9","cdpt.us",1.3848092290585
"10","cereep.fr",NA
"11","chilcas.ar",0.7058789853226
"12","comp.pt",1.76521139800242
"13","cowi.ca",0.862349244532011
"14","doane.us",0.372525783861832
"15","elliot.us",0.911737601547289
"16","ethass.au",0.526411405385262
"17","frue.ch",0.0443892498758317
"18","glcr.us",0.408629144255193
"19","hall.us",0.0989229775295373
"20","hero.uk",NA
"21","hopl.us",1.07435846295079
"22","jena.de",0.795309441211956
"23","kbs.us",0.689697209427784
"24","kibber.in",1.04951875485171
"25","kilp.fi",0.343953030968069
"26","kiny.au",0.148627159895705
"27","koffler.ca",0.0773969355493263
"28","konz.us",1.52306878400582
"29","lagoas.br",0.0974279625516516
"30","lancaster.uk",0.625702985752841
"31","look.us",1.89608145411987
"32","marc.ar",0.325026277292537
"33","mcla.us",0.272855569062981
"34","msum.us",0.16897600821456
"35","mtca.au",0.926580391759873
"36","nilla.au",1.28660029935329
"37","pape.de",NA
"38","ping.au",0.281689309525261
"39","potrok.ar",0.246996511881054
"40","rook.uk",0.133456690779516
"41","saana.fi",0.125819989067381
"42","sage.us",0.545447396584439
"43","sedg.us",1.50750404719522
"44","sevi.us",1.47960069938801
"45","sgs.us",NA
"46","shps.us",0.847517410169313
"47","sier.us",0.276244162286557
"48","smith.us",1.16983136646586
"49","spin.us",2.26473151865781
"50","temple.us",NA
"51","trel.us",1.11099569693023
"52","ufrec.us",0
"53","ukul.za",1.26958866750672
"54","valm.ch",1.21433490520671
"55","wupatki.us",0.142210850768816
"56","yarra.au",0.32101389824482
