"site_code","plot","Taxon","initial_rel_cover","initial_abs_cover","max_cover","rel_cover","perc_rank","year_trt","trt","local_provenance","local_lifespan","functional_group","avgCover","site_richness","MAP_VAR_v2","MAP_v2","MAT_v2","TEMP_VAR_v2","NPK","Fence","site_rich_0"
"1","arch.us",1,"AXONOPUS FURCATUS",0.321100917,35,35,0.321100917,1,0,"Control","NAT","PERENNIAL","GRAMINOID",0.181908065,82,60.07432369,1205,22.73333335,413.2923921,0,0,39
"2","arch.us",1,"AXONOPUS FURCATUS",0.321100917,35,25,0.20661157,0.9,1,"Control","NAT","PERENNIAL","GRAMINOID",0.181908065,82,60.07432369,1205,22.73333335,413.2923921,0,0,39
"3","arch.us",1,"AXONOPUS FURCATUS",0.321100917,35,2,0.02020202,0.571428571,2,"Control","NAT","PERENNIAL","GRAMINOID",0.181908065,82,60.07432369,1205,22.73333335,413.2923921,0,0,39
"4","arch.us",1,"AXONOPUS FURCATUS",0.321100917,35,5,0.04587156,0.777777778,3,"Control","NAT","PERENNIAL","GRAMINOID",0.181908065,82,60.07432369,1205,22.73333335,413.2923921,0,0,39
"5","arch.us",1,"AXONOPUS FURCATUS",0.321100917,35,1,0.008849558,0.333333333,4,"Control","NAT","PERENNIAL","GRAMINOID",0.181908065,82,60.07432369,1205,22.73333335,413.2923921,0,0,39
"6","arch.us",1,"AXONOPUS FURCATUS",0.321100917,35,1,0.012048193,0.5,5,"Control","NAT","PERENNIAL","GRAMINOID",0.181908065,82,60.07432369,1205,22.73333335,413.2923921,0,0,39
"7","arch.us",1,"AXONOPUS FURCATUS",0.321100917,35,0,0,0,6,"Control","NAT","PERENNIAL","GRAMINOID",0.181908065,82,60.07432369,1205,22.73333335,413.2923921,0,0,39
"8","arch.us",1,"AXONOPUS FURCATUS",0.321100917,35,0,0,0,7,"Control","NAT","PERENNIAL","GRAMINOID",0.181908065,82,60.07432369,1205,22.73333335,413.2923921,0,0,39
"9","arch.us",1,"SCHIZACHYRIUM RHIZOMATUM",0.321100917,35,35,0.321100917,1,0,"Control","NAT","PERENNIAL","GRAMINOID",0.245815171,82,60.07432369,1205,22.73333335,413.2923921,0,0,39
"10","arch.us",1,"SCHIZACHYRIUM RHIZOMATUM",0.321100917,35,40,0.330578512,1,1,"Control","NAT","PERENNIAL","GRAMINOID",0.245815171,82,60.07432369,1205,22.73333335,413.2923921,0,0,39
"11","arch.us",1,"SCHIZACHYRIUM RHIZOMATUM",0.321100917,35,75,0.757575758,1,2,"Control","NAT","PERENNIAL","GRAMINOID",0.245815171,82,60.07432369,1205,22.73333335,413.2923921,0,0,39
"12","arch.us",1,"SCHIZACHYRIUM RHIZOMATUM",0.321100917,35,80,0.733944954,1,3,"Control","NAT","PERENNIAL","GRAMINOID",0.245815171,82,60.07432369,1205,22.73333335,413.2923921,0,0,39
"13","arch.us",1,"SCHIZACHYRIUM RHIZOMATUM",0.321100917,35,90,0.796460177,1,4,"Control","NAT","PERENNIAL","GRAMINOID",0.245815171,82,60.07432369,1205,22.73333335,413.2923921,0,0,39
"14","arch.us",1,"SCHIZACHYRIUM RHIZOMATUM",0.321100917,35,50,0.602409639,1,5,"Control","NAT","PERENNIAL","GRAMINOID",0.245815171,82,60.07432369,1205,22.73333335,413.2923921,0,0,39
"15","arch.us",1,"SCHIZACHYRIUM RHIZOMATUM",0.321100917,35,70,0.654205607,1,6,"Control","NAT","PERENNIAL","GRAMINOID",0.245815171,82,60.07432369,1205,22.73333335,413.2923921,0,0,39
"16","arch.us",1,"SCHIZACHYRIUM RHIZOMATUM",0.321100917,35,85,0.702479339,1,7,"Control","NAT","PERENNIAL","GRAMINOID",0.245815171,82,60.07432369,1205,22.73333335,413.2923921,0,0,39
"17","arch.us",8,"SCHIZACHYRIUM RHIZOMATUM",0.417910448,42,42,0.417910448,1,0,"NPK","NAT","PERENNIAL","GRAMINOID",0.245815171,82,60.07432369,1205,22.73333335,413.2923921,1,0,39
