"Site","mean_p_value"
"1","arch.us",0.170688371028282
"2","badlau.de",0.0580796032993179
"3","bldr.us",0.623256675081752
"4","bnch.us",0.099140840108954
"5","bogong.au",4.76814922742887e-06
"6","burrawan.au",0.00916009577066253
"7","cbgb.us",6.39428947286116e-21
"8","cdcr.us",0.239915734807245
"9","cdpt.us",4.07268580839353e-07
"10","cereep.fr",NA
"11","chilcas.ar",0.0600432856025201
"12","comp.pt",0.0026963694711594
"13","cowi.ca",4.84682221000294e-12
"14","doane.us",0.00342347903699496
"15","elliot.us",0.504000008445122
"16","ethass.au",0.323719224694898
"17","frue.ch",0.390900655143231
"18","glcr.us",0.91684938236418
"19","hall.us",0.00520671101501581
"20","hero.uk",0.00366973465147589
"21","hopl.us",0.363617080047239
"22","jena.de",0.58954069158602
"23","kbs.us",0.0233969825253957
"24","kibber.in",0.0492901980335889
"25","kilp.fi",3.13972460163135e-11
"26","kiny.au",0.761159250977163
"27","koffler.ca",0.0990797528710548
"28","konz.us",9.28495811277475e-15
"29","lagoas.br",0.494654617044432
"30","lancaster.uk",0.0830461349290929
"31","look.us",0.47588509971189
"32","marc.ar",0.538456272582973
"33","mcla.us",0.458233370162335
"34","msum.us",0.00119009999039656
"35","mtca.au",4.95483281507479e-06
"36","nilla.au",0.868429436266684
"37","pape.de",0.277233559952907
"38","ping.au",0.528614440225483
"39","potrok.ar",0.231119969738584
"40","rook.uk",0.470653809332603
"41","saana.fi",0.109531980124371
"42","sage.us",0.0122247859833206
"43","sedg.us",0.404890332544092
"44","sevi.us",0.436226707500058
"45","sgs.us",0.033269348861668
"46","shps.us",0.0480183639172635
"47","sier.us",0.301887356077041
"48","smith.us",0.456849961212745
"49","spin.us",0.143030233878342
"50","temple.us",0.17913677889408
"51","trel.us",0.0230509149507793
"52","ufrec.us",0.332194984652979
"53","ukul.za",0.267173256543314
"54","valm.ch",0.371707683850723
"55","wupatki.us",0.864962852138759
"56","yarra.au",0.00910638889331461
